Asset ID,Asset Type,Manufacturer,Model Number,Serial Number,Installation Date,Warranty End Date,Site Name,Status,Criticality,Operating Hours,Acquisition Cost (£),Condition,Responsible Engineer
WC-1000,Booster Pump,Grundfos,MDL-5506,SN-5207ADBA,2016-03-16,2021-03-15,Small Water Works - Site A,Operational,Critical,14144,198061,Excellent,ENG-122
WC-1001,Booster Pump,Schneider,MDL-1520,SN-80C5C749,2017-04-06,2022-04-05,Small Water Works - Site A,Operational,Critical,19328,65990,Fair,ENG-120
WC-1002,Flow Meter,Wilo,MDL-9928,SN-9B66A9CF,2023-01-30,2028-01-29,Small Water Works - Site A,Standby,Critical,34439,159472,Good,ENG-126
WC-1003,pH Sensor,KSB,MDL-7924,SN-53A47D35,2023-04-22,2028-04-20,Small Water Works - Site A,Standby,High,15189,61443,Good,ENG-104
WC-1004,Rapid Gravity Filter,Sulzer,MDL-6881,SN-7905A93F,2022-05-04,2027-05-03,Small Water Works - Site A,Standby,Medium,22335,216583,Excellent,ENG-124
WC-1005,Flow Meter,Sulzer,MDL-7201,SN-479C68D7,2018-03-24,2023-03-23,Small Water Works - Site A,Operational,Medium,24213,222423,Fair,ENG-120
WC-1006,Pressure Transmitter,Wilo,MDL-2139,SN-4BCF0149,2019-04-28,2024-04-26,Small Water Works - Site A,Operational,Medium,19935,207655,Good,ENG-103
WC-1007,Control Panel,Sulzer,MDL-7227,SN-6F438D45,2020-10-07,2025-10-06,Small Water Works - Site A,Standby,High,46660,223657,Good,ENG-106
WC-1008,Chlorine Doser,Wilo,MDL-5374,SN-2338B21B,2019-03-24,2024-03-22,Small Water Works - Site A,Under Maintenance,Medium,47469,23717,Fair,ENG-121
WC-1009,Flow Meter,Wilo,MDL-3677,SN-E6C5AB27,2021-06-17,2026-06-16,Small Water Works - Site A,Standby,High,22691,247585,Fair,ENG-123
WC-1010,VSD Drive,ABB,MDL-1916,SN-EFF39D2D,2017-02-17,2022-02-16,Small Water Works - Site A,Operational,Critical,57759,87694,Good,ENG-109
WC-1011,VSD Drive,ABB,MDL-4483,SN-CBF6CB91,2022-08-20,2027-08-19,Small Water Works - Site A,Under Maintenance,High,30928,236914,Fair,ENG-115
WC-1012,Generator,KSB,MDL-5040,SN-7A45B638,2021-10-10,2026-10-09,Small Water Works - Site A,Under Maintenance,Medium,40322,73876,Fair,ENG-119
WC-1013,Isolation Valve,Schneider,MDL-6930,SN-B3E3412D,2018-07-29,2023-07-28,Small Water Works - Site A,Operational,Critical,38392,134372,Excellent,ENG-125
WC-1014,Control Panel,Sulzer,MDL-3504,SN-C0AA10B9,2022-11-07,2027-11-06,Small Water Works - Site A,Under Maintenance,Critical,56909,183384,Good,ENG-120
WC-1015,Rapid Gravity Filter,Schneider,MDL-8668,SN-4EFA7FD7,2022-08-31,2027-08-30,Small Water Works - Site A,Under Maintenance,High,41256,230648,Excellent,ENG-122
WC-1016,Booster Pump,Xylem,MDL-5371,SN-63C02560,2015-04-18,2020-04-16,Small Water Works - Site A,Under Maintenance,High,12310,81939,Good,ENG-106
WC-1017,Raw Water Pump,Siemens,MDL-9201,SN-A5C3FCD2,2018-04-16,2023-04-15,Small Water Works - Site A,Operational,Medium,11973,233201,Fair,ENG-110
WC-1018,Flow Meter,Wilo,MDL-3504,SN-216F941C,2016-03-18,2021-03-17,Small Water Works - Site A,Standby,Critical,40348,209112,Fair,ENG-130
WC-1019,Pressure Transmitter,ABB,MDL-9005,SN-D64A0A88,2023-05-16,2028-05-14,Small Water Works - Site A,Operational,Critical,28788,235351,Good,ENG-108
